"attr_code";"area_code";"value";"ts_start";"ts"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-03-01";"1298937600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"94.42";"2011-03-01";"1298937600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"91.8";"2011-03-01";"1298937600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"67.52";"2011-03-01";"1298937600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"92.78";"2011-04-01";"1301616000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"95.85";"2011-04-01";"1301616000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"66.91";"2011-04-01";"1301616000000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-04-01";"1301616000000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-05-01";"1304208000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"66.99";"2011-05-01";"1304208000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"95.42";"2011-05-01";"1304208000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"92.73";"2011-05-01";"1304208000000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-06-01";"1306886400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"93.1";"2011-06-01";"1306886400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"95.58";"2011-06-01";"1306886400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"67.16";"2011-06-01";"1306886400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.69";"2011-07-01";"1309478400000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-07-01";"1309478400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"93.99";"2011-07-01";"1309478400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.48";"2011-07-01";"1309478400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.73";"2011-08-01";"1312156800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.37";"2011-08-01";"1312156800000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-08-01";"1312156800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"93.98";"2011-08-01";"1312156800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.08";"2011-09-01";"1314835200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"70.5";"2011-09-01";"1314835200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.78";"2011-09-01";"1314835200000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-09-01";"1314835200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"70.87";"2011-10-01";"1317427200000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-10-01";"1317427200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.67";"2011-10-01";"1317427200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.19";"2011-10-01";"1317427200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"71.04";"2011-11-01";"1320105600000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-11-01";"1320105600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.86";"2011-11-01";"1320105600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.75";"2011-11-01";"1320105600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.33";"2011-12-01";"1322697600000"
"Blochholz Buche Kl. B 3";"Österreich";"74.74";"2011-12-01";"1322697600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.59";"2011-12-01";"1322697600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"71.01";"2011-12-01";"1322697600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.45";"2012-01-01";"1325376000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.23";"2012-01-01";"1325376000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"71.98";"2012-01-01";"1325376000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.54";"2012-01-01";"1325376000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.31";"2012-02-01";"1328054400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.28";"2012-02-01";"1328054400000"
"Blochholz Buche Kl. B 3";"Österreich";"76.54";"2012-02-01";"1328054400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"95.8";"2012-02-01";"1328054400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.16";"2012-03-01";"1330560000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.16";"2012-03-01";"1330560000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.22";"2012-03-01";"1330560000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.2";"2012-03-01";"1330560000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.22";"2012-04-01";"1333238400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.81";"2012-04-01";"1333238400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.69";"2012-04-01";"1333238400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.33";"2012-04-01";"1333238400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.13";"2012-05-01";"1335830400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.23";"2012-05-01";"1335830400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.43";"2012-05-01";"1335830400000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-05-01";"1335830400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.16";"2012-06-01";"1338508800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-06-01";"1338508800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.27";"2012-06-01";"1338508800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"96.71";"2012-06-01";"1338508800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.18";"2012-07-01";"1341100800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"95.63";"2012-07-01";"1341100800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.49";"2012-07-01";"1341100800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-07-01";"1341100800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.67";"2012-08-01";"1343779200000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-08-01";"1343779200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.48";"2012-08-01";"1343779200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.09";"2012-08-01";"1343779200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.49";"2012-09-01";"1346457600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.83";"2012-09-01";"1346457600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.25";"2012-09-01";"1346457600000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-09-01";"1346457600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"72.83";"2012-10-01";"1349049600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"97.49";"2012-10-01";"1349049600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.25";"2012-10-01";"1349049600000"
"Blochholz Buche Kl. B 3";"Österreich";"76.69";"2012-10-01";"1349049600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.59";"2012-11-01";"1351728000000"
